Id,R_2026_27,Nome_2026_27,Squadra_2026_27
7411,P,Daffara,Parma
6248,P,Stankovic F.,Venezia
4485,P,Thiam,Monza
6415,P,Palmisani,Frosinone
7463,P,Desplanches,Frosinone
7533,P,Happonen,Bologna
7466,P,Lolic,Frosinone
6569,P,Stolz,Genoa
7534,P,Renzetti,Lazio
6682,P,Pizzignacco,Monza
7475,P,Strajnar,Monza
7048,P,De Marzi,Roma
7457,P,Mascardi,Torino
5707,P,Piana,Udinese
6671,P,Grandi,Venezia
7531,P,Pozzi,Venezia
7545,P,Vismara,Atalanta
2514,D,Stones,Inter
5365,D,Dragusin,Fiorentina
7529,D,Koulierakis,Roma
6727,D,Couto,Como
7414,D,Kaiki,Como
6320,D,Doekhi,Lazio
7294,D,Valdepenas,Fiorentina
7410,D,Viery,Fiorentina
4952,D,Monterisi,Frosinone
7485,D,Mangas,Monza
7532,D,Kofler,Cagliari
7469,D,Bracaglia,Frosinone
6238,D,Oyono A.,Frosinone
4817,D,Pedraza,Lazio
6890,D,Moreno M.,Venezia
5695,D,Haps,Venezia
7467,D,Calvani,Frosinone
7537,D,Mitaj,Genoa
2115,D,Delli Carri,Monza
6659,D,Lucchesi,Monza
5838,D,Birindelli,Monza
7526,D,Comert,Torino
7538,D,Halhal,Venezia
4845,D,Correia T.,Venezia
7540,D,Akpoguma,Frosinone
5757,D,Cittadini,Frosinone
4925,D,Carboni A.,Monza
6892,D,Schingtienne,Venezia
6673,D,Sverko,Venezia
7483,D,Alhassane,Bologna
7413,D,Puczka,Genoa
7525,D,Diawara S.,Milan
6638,D,Marin R.,Napoli
7478,D,Franjic,Venezia
6681,D,Sagrado,Venezia
7407,D,Cuenca A.,Como
5424,D,Amey,Frosinone
7468,D,Gelli J.,Frosinone
7470,D,Oyono J.,Frosinone
7471,D,Corrado,Frosinone
6244,D,Matturro,Genoa
5399,D,Antov,Monza
7476,D,Bakoune,Monza
6021,D,Abankwah,Udinese
7454,D,Gomes,Venezia
7436,C,Alajbegovic,Juventus
7078,C,Mastantuono,Fiorentina
5878,C,Colpani,Monza
7472,C,Calò,Frosinone
2741,C,Pessina,Monza
6783,C,Unai Gomez,Udinese
5946,C,Sow,Genoa
4260,C,Winks,Cagliari
7464,C,Oulai,Fiorentina
7528,C,Amondarain,Bologna
7311,C,Romano,Cagliari
7412,C,Milla,Como
7409,C,Meichtry,Genoa
2857,C,Traorè Hj.,Genoa
7060,C,Cacciamani,Torino
5507,C,Busio,Venezia
6994,C,Perez K.,Venezia
7473,C,Cichella,Frosinone
7474,C,Koutsoupias,Frosinone
7535,C,Fitz-Jim,Torino
6241,C,Gelli F.,Frosinone
6503,C,Stankovic A.,Inter
7477,C,Colombo L.,Monza
7536,C,Diallo O.,Parma
6903,C,Hasa,Frosinone
5880,C,Ciurria,Monza
7418,C,Chakvetadze,Udinese
526,C,Duncan,Venezia
7456,C,El Azzouzi A.,Frosinone
5725,C,Kone B.,Frosinone
7392,C,Camara A.,Udinese
7481,C,Dagasso,Venezia
6397,A,Ramos G.,Milan
5951,A,Kolo Muani,Juventus
7484,A,Adams A.,Venezia
6530,A,Ghedjemis,Frosinone
5029,A,Geubbels,Lecce
6904,A,Yeboah J.,Venezia
7449,A,Rrahmani Al.,Venezia
5436,A,Raimondo,Frosinone
6598,A,Mutandwa,Cagliari
5882,A,Mota,Monza
4387,A,Adorante,Venezia
6204,A,Kvernadze,Frosinone
7453,A,Havel,Genoa
7546,A,Robinson J.,Monza
7523,A,Varela G.,Monza
383,A,Petagna,Monza
7408,A,Lisman,Venezia
7482,A,Lauberbach,Venezia
