player_id,role_classic,role_mantra,name,team,quotation_current,quotation_initial,fvm_1000,source_date
5841,P,Por,Svilar,Roma,18,18,65,2026-08-09
5116,P,Por,Martinez Jo.,Inter,17,17,63,2026-08-09
4431,P,Por,Carnesecchi,Atalanta,16,16,52,2026-08-09
6966,P,Por,Butez,Como,16,16,56,2026-08-09
4312,P,Por,Maignan,Milan,15,15,50,2026-08-09
2521,P,Por,De Gea,Fiorentina,13,13,45,2026-08-09
572,P,Por,Meret,Napoli,11,11,45,2026-08-09
133,P,Por,Skorupski,Bologna,10,10,37,2026-08-09
4360,P,Por,Caprile,Cagliari,9,9,27,2026-08-09
5876,P,Por,Di Gregorio,Juventus,9,9,40,2026-08-09
6482,P,Por,Mandas,Lazio,9,9,30,2026-08-09
6462,P,Por,Okoye,Udinese,9,9,29,2026-08-09
7332,P,Por,Bijlow,Genoa,8,8,18,2026-08-09
2134,P,Por,Falcone,Lecce,8,8,25,2026-08-09
7411,P,Por,Daffara,Parma,7,7,5,2026-08-09
6641,P,Por,Suzuki,Parma,7,7,20,2026-08-09
4236,P,Por,Muric,Sassuolo,7,7,15,2026-08-09
218,P,Por,Perin,Juventus,6,6,10,2026-08-09
6248,P,Por,Stankovic F.,Venezia,6,6,14,2026-08-09
4485,P,Por,Thiam,Monza,5,5,12,2026-08-09
2170,P,Por,Milinkovic-Savic V.,Napoli,5,5,10,2026-08-09
6415,P,Por,Palmisani,Frosinone,4,4,8,2026-08-09
7463,P,Por,Desplanches,Frosinone,2,2,8,2026-08-09
2814,P,Por,Provedel,Inter,2,2,5,2026-08-09
4,P,Por,Sportiello,Atalanta,1,1,1,2026-08-09
7533,P,Por,Happonen,Bologna,1,1,1,2026-08-09
7172,P,Por,Pessina Mas.,Bologna,1,1,1,2026-08-09
4929,P,Por,Ciocci,Cagliari,1,1,1,2026-08-09
6650,P,Por,Sherri,Cagliari,1,1,1,2026-08-09
7301,P,Por,Tornqvist,Como,1,1,1,2026-08-09
2809,P,Por,Vigorito,Como,1,1,1,2026-08-09
6403,P,Por,Christensen O.,Fiorentina,1,1,1,2026-08-09
158,P,Por,Lezzerini,Fiorentina,1,1,1,2026-08-09
7466,P,Por,Lolic,Frosinone,1,1,1,2026-08-09
219,P,Por,Sommariva,Genoa,1,1,1,2026-08-09
6569,P,Por,Stolz,Genoa,1,1,1,2026-08-09
1926,P,Por,Di Gennaro,Inter,1,1,1,2026-08-09
1930,P,Por,Pinsoglio,Juventus,1,1,1,2026-08-09
7337,P,Por,Motta,Lazio,1,1,1,2026-08-09
7534,P,Por,Renzetti,Lazio,1,1,1,2026-08-09
6523,P,Por,Samooja,Lecce,1,1,1,2026-08-09
2815,P,Por,Terracciano,Milan,1,1,1,2026-08-09
6813,P,Por,Torriani,Milan,1,1,1,2026-08-09
6682,P,Por,Pizzignacco,Monza,1,1,1,2026-08-09
7475,P,Por,Strajnar,Monza,1,1,1,2026-08-09
2845,P,Por,Contini,Napoli,1,1,1,2026-08-09
6662,P,Por,Corvi,Parma,1,1,1,2026-08-09
7048,P,Por,De Marzi,Roma,1,1,1,2026-08-09
610,P,Por,Gollini,Roma,1,1,1,2026-08-09
4518,P,Por,Russo A.,Sassuolo,1,1,1,2026-08-09
4867,P,Por,Turati,Sassuolo,1,1,3,2026-08-09
7457,P,Por,Mascardi,Torino,1,1,1,2026-08-09
5320,P,Por,Paleari,Torino,1,1,1,2026-08-09
7363,P,Por,Siviero,Torino,1,1,1,2026-08-09
543,P,Por,Padelli,Udinese,1,1,1,2026-08-09
5707,P,Por,Piana,Udinese,1,1,1,2026-08-09
6671,P,Por,Grandi,Venezia,1,1,1,2026-08-09
7531,P,Por,Pozzi,Venezia,1,1,1,2026-08-09
7545,P,Por,Vismara,Atalanta,1,1,1,2026-08-09
2127,P,Por,Satalino,Sassuolo,1,1,1,2026-08-09
