player_id,role_classic,role_mantra,name,team,quotation_current,quotation_initial,quotation_diff,quotation_current_mantra,quotation_initial_mantra,quotation_diff_mantra,fvm_1000,fvm_1000_mantra,source_date,source
5841,P,Por,Svilar,Roma,18,18,0,18,18,0,65,65,2026-08-09,Fantacalcio.it official Quotazioni_Fantacalcio_Stagione_2026_27.xlsx
5116,P,Por,Martinez Jo.,Inter,17,17,0,17,17,0,63,63,2026-08-09,Fantacalcio.it official Quotazioni_Fantacalcio_Stagione_2026_27.xlsx
4431,P,Por,Carnesecchi,Atalanta,16,16,0,16,16,0,52,52,2026-08-09,Fantacalcio.it official Quotazioni_Fantacalcio_Stagione_2026_27.xlsx
6966,P,Por,Butez,Como,16,16,0,16,16,0,56,56,2026-08-09,Fantacalcio.it official Quotazioni_Fantacalcio_Stagione_2026_27.xlsx
4312,P,Por,Maignan,Milan,15,15,0,15,15,0,50,50,2026-08-09,Fantacalcio.it official Quotazioni_Fantacalcio_Stagione_2026_27.xlsx
2521,P,Por,De Gea,Fiorentina,13,13,0,13,13,0,45,45,2026-08-09,Fantacalcio.it official Quotazioni_Fantacalcio_Stagione_2026_27.xlsx
572,P,Por,Meret,Napoli,11,11,0,11,11,0,45,45,2026-08-09,Fantacalcio.it official Quotazioni_Fantacalcio_Stagione_2026_27.xlsx
133,P,Por,Skorupski,Bologna,10,10,0,10,10,0,37,37,2026-08-09,Fantacalcio.it official Quotazioni_Fantacalcio_Stagione_2026_27.xlsx
4360,P,Por,Caprile,Cagliari,9,9,0,9,9,0,27,27,2026-08-09,Fantacalcio.it official Quotazioni_Fantacalcio_Stagione_2026_27.xlsx
5876,P,Por,Di Gregorio,Juventus,9,9,0,9,9,0,40,40,2026-08-09,Fantacalcio.it official Quotazioni_Fantacalcio_Stagione_2026_27.xlsx
