Id,Nome_2026_27,club_2025_26,competition_2025_26,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,source,coverage_note
6415,Palmisani,Frosinone,Serie B,38,38,3410,0,0,0,0,3,0,FBref 2025-26 Frosinone standard stats,core_complete
7472,Calò,Frosinone,Serie B,37,37,3173,10,15,5,5,7,0,FBref 2025-26 Frosinone standard stats,core_complete
6530,Ghedjemis,Frosinone,Serie B,37,36,3009,15,3,0,0,4,0,FBref 2025-26 Frosinone standard stats,core_complete
6238,Oyono A.,Frosinone,Serie B,34,33,2750,1,4,0,0,9,1,FBref 2025-26 Frosinone standard stats,core_complete
6204,Kvernadze,Frosinone,Serie B,36,32,2495,5,5,0,0,4,1,FBref 2025-26 Frosinone standard stats,core_complete
7467,Calvani,Frosinone,Serie B,35,31,2790,1,1,0,0,4,1,FBref 2025-26 Frosinone standard stats,core_complete
6248,Stankovic F.,Venezia,Serie B,38,38,3420,,,,,,,FBref 2025-26 Venezia playing time,playing_time_complete_output_pending
5507,Busio,Venezia,Serie B,37,37,3196,,,,,,,FBref 2025-26 Venezia playing time,playing_time_complete_output_pending
6892,Schingtienne,Venezia,Serie B,35,35,3038,,,,,,,FBref 2025-26 Venezia playing time,playing_time_complete_output_pending
6994,Perez K.,Venezia,Serie B,35,33,2735,,,,,,,FBref 2025-26 Venezia playing time,playing_time_complete_output_pending
6904,Yeboah J.,Venezia,Serie B,34,31,2597,,,,,,,FBref 2025-26 Venezia playing time,playing_time_complete_output_pending
4387,Adorante,Venezia,Serie B,33,30,2132,,,,,,,FBref 2025-26 Venezia playing time,playing_time_complete_output_pending
4485,Thiam,Monza,Serie B,38,38,3420,0,,,0,0,2,0,FBref 2025-26 Monza playing time/shooting/misc,core_partial
2741,Pessina,Monza,Serie B,33,33,2904,5,,3,3,4,0,FBref 2025-26 Monza playing time/shooting/misc,assist_pending
5838,Birindelli,Monza,Serie B,33,29,2627,5,,0,0,6,0,FBref 2025-26 Monza playing time/shooting/misc,assist_pending
4925,Carboni A.,Monza,Serie B,30,24,2200,,,,,3,1,FBref 2025-26 Monza playing time/misc,output_pending
2115,Delli Carri,Monza,Serie B,32,22,2007,,,,,3,0,FBref 2025-26 Monza playing time/misc,output_pending
5882,Mota,Monza,Serie B,,,1647,,,,,0,0,FBref 2025-26 Monza miscellaneous + 18.3 90s,playing_time_partial
6659,Lucchesi,Monza,Serie B,,,1629,,,,,5,0,FBref 2025-26 Monza miscellaneous + 18.1 90s,playing_time_partial
5880,Ciurria,Monza,Serie B,,,1575,,,,,4,1,FBref 2025-26 Monza miscellaneous + 17.5 90s,playing_time_partial
