Id,R_2026_27,Nome_2026_27,Squadra_2026_27,provenance_2025_26,confidence,evidence
7060,C,Cacciamani,Torino,SERIE_B_2025_26,high,Torino official June 2026: protagonista della stagione 2025/26 in prestito alla Juve Stabia
6503,C,Stankovic A.,Inter,FOREIGN_LEAGUE_2025_26,high,Club Brugge official: 55 matches 9 goals 5 assists in 2025/26 before Inter buyback
7392,C,Camara A.,Udinese,YOUTH_RESERVE_2025_26,high,Udinese official: first year at club mainly development/youth; Serie A debut in final home match
7453,A,Havel,Genoa,FOREIGN_LEAGUE_2025_26,high,ANSA July 2026: Hartberg Austrian top flight; 30 matches 13 goals 4 assists last season
6598,A,Mutandwa,Cagliari,FOREIGN_LEAGUE_2025_26,high,ANSA June 2026: SV Ried Austrian Bundesliga loan; 37 matches 16 goals 4 assists
7523,A,Varela G.,Monza,FOREIGN_LEAGUE_2025_26,high,AC Monza official: Gil Vicente 2025/26; 32 appearances 6 goals
5029,A,Geubbels,Lecce,FOREIGN_LEAGUE_2025_26,high,Paris FC official signed Geubbels Aug 2025; 2025/26 Ligue 1 evidence including Paris derby penalty
2857,C,Traorè Hj.,Genoa,FOREIGN_LEAGUE_2025_26,medium,2026 transfer reporting identifies 2025/26 loan spell at Olympique Marseille from Bournemouth
7546,A,Robinson J.,Monza,FOREIGN_LEAGUE_2025_26,medium,August 2026 Southampton/Monza loan reporting identifies 28 Southampton appearances in prior season
7536,C,Diallo O.,Parma,YOUTH_RESERVE_2025_26,medium,2026 Parma liston inclusion; treated as youth/reserve provenance pending richer senior-season evidence
